544	6090	209.3265068	
545	7240	209.1474062	
546	4954	209.1399287	
547	3515	208.8812835	
548	6099	208.5410831	
549	832	208.3794764	
550	8480	208.3741258	
551	8825	208.3217659	
552	420	208.3217659	
553	6809	208.0555556	
554	7193	207.9304029	
555	4010	207.921965	
556	5380	207.8853499	
557	7762	207.8113553	
558	7062	207.5549451	
559	447	207.2502774	
560	2924	207.2267289	
561	9522	207.1161191	
562	107	207.0238095	
563	7680	207.0039683	
564	6315	206.9234801	
565	3737	206.890142	
566	2601	206.7832168	
567	8920	206.6666667	
568	566	206.5716487	
569	5369	206.3924964	
570	6426	206.3690476	
571	4055	206.0736233	
572	5286	206.0521682	
573	8738	205.8065953	
574	6874	205.6752458	
575	9296	205.3571428	
576	270	205.1044277	
577	3425	204.9096225	
578	9208	204.7051818	
579	7549	204.6367521	
580	4016	204.4847696	
581	7537	204.329092	
582	6009	204.2899644	
583	2023	204.1930026	
584	66	204.1520468	
585	9276	204.1474063	
586	2001	204.0873016	
587	9038	204.0680412	
588	3325	203.971486	
589	7468	203.9285714	
590	7748	203.8778765	
591	4313	203.8636363	
592	5285	203.7423946	
593	2599	203.6111111	
594	8492	203.5736233	
595	2357	203.437298	
